#UserGroup,user,groupName,,userName,DirectoryService
UserGroup,,热管理仿真组,,60012495,
UserGroup,,热管理仿真组,,60011641,
UserGroup,,热管理仿真组,,60010803,
UserGroup,,热管理仿真组,,60008800,
UserGroup,,热管理仿真组,,60009350,
UserGroup,,热管理仿真组,,60000400,
UserGroup,,热管理仿真组,,60000443,
UserGroup,,热管理仿真组,,60004945,
UserGroup,,热管理仿真组,,60009674,
UserGroup,,热管理仿真组,,60009353,
UserGroup,,热管理仿真组,,60000438,
UserGroup,,热管理仿真组,,60012408,
UserGroup,,热管理仿真组,,60000197,
UserGroup,,热管理仿真组,,60004707,
UserGroup,,热管理仿真组,,60012275,
UserGroup,,热管理仿真组,,60001081,
UserGroup,,热管理仿真组,,60000412,
UserGroup,,热管理仿真组,,60006212,
UserGroup,,热管理仿真组,,60010445,
UserGroup,,热管理仿真组,,60011770,
UserGroup,,热管理仿真组,,60009033,
UserGroup,,热管理仿真组,,60006507,
UserGroup,,热管理仿真组,,60004889,
UserGroup,,热管理仿真组,,60007267,
UserGroup,,热管理仿真组,,60011601,
UserGroup,,热管理仿真组,,60000173,
UserGroup,,热管理仿真组,,60006880,
UserGroup,,热管理仿真组,,60009349,
UserGroup,,热管理仿真组,,60009678,
UserGroup,,热管理仿真组,,60009345,
UserGroup,,热管理仿真组,,60008795,
UserGroup,,热管理仿真组,,60011126,
UserGroup,,热管理仿真组,,60011308,
UserGroup,,热管理仿真组,,60000407,
UserGroup,,热管理仿真组,,60009683,
UserGroup,,热管理仿真组,,60001653,
UserGroup,,热管理仿真组,,60008809,
UserGroup,,热管理仿真组,,60011660,
UserGroup,,热管理仿真组,,60012148,
UserGroup,,热管理仿真组,,60000044,
UserGroup,,热管理仿真组,,60003148,
UserGroup,,热管理仿真组,,60002708,
UserGroup,,热管理仿真组,,60002706,
UserGroup,,热管理仿真组,,60010141,
UserGroup,,热管理仿真组,,60010117,
UserGroup,,热管理仿真组,,60010124,
UserGroup,,热管理仿真组,,60010113,
UserGroup,,热管理仿真组,,60010134,
UserGroup,,热管理仿真组,,60008319,
UserGroup,,热管理仿真组,,60008013,
UserGroup,,热管理仿真组,,60008797,
UserGroup,,热管理仿真组,,60008804,
UserGroup,,热管理仿真组,,60008811,
UserGroup,,热管理仿真组,,60009631,
UserGroup,,热管理仿真组,,60009647,
UserGroup,,热管理仿真组,,60008789,
UserGroup,,热管理仿真组,,60010431,
UserGroup,,热管理仿真组,,60002709,
UserGroup,,热管理仿真组,,60009658,
UserGroup,,设备组,,60003159,
UserGroup,,设备组,,60007568,
UserGroup,,设备组,,60002223,
UserGroup,,设备组,,60002199,
UserGroup,,设备组,,60002228,
UserGroup,,设备组,,60002227,
UserGroup,,设备组,,60011527,
UserGroup,,设备组,,60002226,
UserGroup,,设备组,,60001329,
UserGroup,,设备组,,60009462,
UserGroup,,设备组,,60001334,
UserGroup,,设备组,,60001335,
UserGroup,,设备组,,60001331,
UserGroup,,设备组,,60001333,
UserGroup,,设备组,,60001337,
UserGroup,,设备组,,60001339,
UserGroup,,设备组,,60002221,
UserGroup,,设备组,,60002225,
UserGroup,,设备组,,60007071,
UserGroup,,设备组,,60001336,
UserGroup,,设备组,,60007727,
UserGroup,,设备组,,60007818,
UserGroup,,设备组,,60007198,
UserGroup,,设备组,,60010895,
UserGroup,,设备组,,60011543,
UserGroup,,设备组,,60010440,
UserGroup,,设备组,,60004935,
UserGroup,,设备组,,60008599,
UserGroup,,设备组,,60011317,
UserGroup,,设备组,,60000298,
UserGroup,,设备组,,60000052,
UserGroup,,设备组,,60001405,
UserGroup,,设备组,,60010501,
UserGroup,,设备组,,60000128,
UserGroup,,设备组,,60004618,
UserGroup,,设备组,,60011132,
UserGroup,,设备组,,60002650,
UserGroup,,设备组,,60000013,
UserGroup,,设备组,,60010288,
UserGroup,,设备组,,60000340,
UserGroup,,设备组,,60006009,
UserGroup,,设备组,,60000124,
UserGroup,,设备组,,60007591,
UserGroup,,设备组,,60001120,
UserGroup,,设备组,,60004566,
UserGroup,,设备组,,60000041,
UserGroup,,设备组,,60002974,
UserGroup,,设备组,,60008787,
UserGroup,,设备组,,60004714,
UserGroup,,设备组,,60000622,
UserGroup,,设备组,,60009521,
UserGroup,,设备组,,60004569,
UserGroup,,设备组,,60009655,
UserGroup,,设备组,,60004403,
UserGroup,,设备组,,60000020,
UserGroup,,设备组,,60003030,
UserGroup,,设备组,,60010893,
UserGroup,,设备组,,60007145,
UserGroup,,设备组,,60000258,
UserGroup,,设备组,,60000262,
UserGroup,,设备组,,60012276,
UserGroup,,设备组,,60007827,
UserGroup,,设备组,,60008328,
UserGroup,,设备组,,60004084,
